order,sub_no,cond,trial,id,p,x,q,y,choice
0,15,1,0,49,20,400,100,0,0
0,15,1,1,112,60,100,100,0,0
0,15,1,2,100,40,500,100,200,1
0,15,1,3,39,40,300,60,200,1
0,15,1,4,36,20,100,60,0,0
0,15,1,5,142,80,300,20,0,0
0,15,1,6,64,40,500,80,0,0
0,15,1,7,29,80,200,100,100,0
0,15,1,8,132,100,400,80,0,0
0,15,1,9,96,40,400,80,300,1
0,15,1,10,145,100,500,80,0,0
0,15,1,11,11,20,500,40,300,1
0,15,1,12,80,20,500,60,200,1
0,15,1,13,4,20,300,100,200,1
0,15,1,14,37,40,300,60,100,1
0,15,1,15,67,60,500,80,100,1
0,15,1,16,34,20,400,80,100,1
0,15,1,17,68,20,500,40,100,1
0,15,1,18,133,60,500,20,200,0
0,15,1,19,48,20,200,100,100,1
0,15,1,20,46,40,300,100,200,1
0,15,1,21,90,60,500,100,200,1
0,15,1,22,128,80,200,40,100,0
0,15,1,23,93,60,400,80,100,1
0,15,1,24,144,100,300,20,0,0
0,15,1,25,129,100,300,40,0,0
0,15,1,26,16,80,500,100,0,0
0,15,1,27,5,20,200,80,100,1
0,15,1,28,138,60,300,60,100,0
0,15,1,29,101,40,400,100,100,1
0,15,1,30,122,80,400,20,300,0
0,15,1,31,117,40,500,60,100,1
0,15,1,32,89,60,400,80,0,0
0,15,1,33,24,80,400,100,300,1
0,15,1,34,107,20,400,100,300,1
0,15,1,35,32,40,500,80,200,1
0,15,1,36,22,60,400,80,300,1
0,15,1,37,73,40,200,80,0,0
0,15,1,38,41,20,400,60,100,1
0,15,1,39,47,40,400,100,300,1
0,15,1,40,92,20,500,80,0,0
0,15,1,41,135,80,200,40,200,0
0,15,1,42,98,60,300,100,0,0
0,15,1,43,148,100,500,20,100,0
0,15,1,44,120,40,100,80,0,0
0,15,1,45,43,40,500,100,0,0
0,15,1,46,127,100,300,80,0,0
0,15,1,47,84,60,200,100,0,0
0,15,1,48,110,40,400,60,200,1
0,15,1,49,10,20,500,80,200,1
0,15,1,50,115,20,300,80,100,1
0,15,1,51,103,40,400,80,0,0
0,15,1,52,38,20,500,60,300,1
0,15,1,53,114,80,100,100,0,0
0,15,1,54,141,40,500,40,200,0
0,15,1,55,3,20,500,60,100,1
0,15,1,56,51,20,500,100,300,1
0,15,1,57,54,20,300,80,0,0
0,15,1,58,102,60,500,100,300,1
0,15,1,59,28,40,500,100,300,1
0,15,1,60,136,100,100,80,0,0
0,15,1,61,12,20,200,100,0,0
0,15,1,62,53,20,300,60,0,0
0,15,1,63,30,60,400,100,200,1
0,15,1,64,125,20,500,20,0,0
0,15,1,65,31,20,400,60,200,1
0,15,1,66,62,20,400,60,0,0
0,15,1,67,20,60,300,80,200,1
0,15,1,68,113,80,300,100,100,1
0,15,1,69,150,100,400,60,100,0
0,15,1,70,149,100,100,40,100,0
0,15,1,71,82,40,400,100,0,0
0,15,1,72,27,80,300,100,0,0
0,15,1,73,2,40,500,80,400,1
0,15,1,74,111,40,200,60,100,1
0,15,1,75,63,40,200,100,0,0
0,15,1,76,99,40,400,60,300,1
0,15,1,77,134,80,100,60,100,0
0,15,1,78,15,20,500,60,400,1
0,15,1,79,77,20,500,100,400,1
0,15,1,80,45,60,400,100,0,0
0,15,1,81,7,20,500,60,0,0
0,15,1,82,50,80,400,100,200,0
0,15,1,83,26,60,200,100,100,1
0,15,1,84,124,60,300,60,200,0
0,15,1,85,130,60,100,60,0,0
0,15,1,86,121,80,400,40,300,0
0,15,1,87,75,60,300,100,100,1
0,15,1,88,78,40,500,80,300,1
0,15,1,89,104,40,200,80,100,1
0,15,1,90,13,20,200,40,0,0
0,15,1,91,81,40,500,60,0,0
0,15,1,92,25,60,500,80,0,0
0,15,1,93,21,60,300,80,100,1
0,15,1,94,109,60,300,100,200,1
0,15,1,95,95,20,200,80,0,0
0,15,1,96,9,40,400,80,200,1
0,15,1,97,42,20,200,40,100,1
0,15,1,98,56,60,500,100,400,1
0,15,1,99,70,20,400,80,0,0
0,15,1,100,146,80,400,60,0,0
0,15,1,101,116,40,500,60,400,1
0,15,1,102,60,20,300,40,100,1
0,15,1,103,17,40,300,100,0,0
0,15,1,104,6,20,400,80,200,1
0,15,1,105,72,40,100,60,0,0
0,15,1,106,137,60,300,20,300,0
0,15,1,107,91,60,400,100,300,1
0,15,1,108,40,60,200,80,100,1
0,15,1,109,105,20,400,40,300,1
0,15,1,110,59,20,400,40,100,1
0,15,1,111,131,80,500,40,0,0
0,15,1,112,126,100,100,60,100,0
0,15,1,113,139,80,400,60,300,0
0,15,1,114,106,60,500,80,200,1
0,15,1,115,52,40,400,100,200,1
0,15,1,116,108,20,100,40,0,0
0,15,1,117,65,40,100,100,0,0
0,15,1,118,8,20,200,60,100,1
0,15,1,119,140,100,300,100,0,0
0,15,1,120,147,80,500,20,100,0
0,15,1,121,86,80,500,100,200,1
0,15,1,122,87,60,200,80,0,0
0,15,1,123,58,20,300,40,200,1
0,15,1,124,23,20,400,100,200,1
0,15,1,125,74,20,500,100,200,1
0,15,1,126,71,20,300,100,100,1
0,15,1,127,79,20,400,40,0,0
0,15,1,128,83,80,500,100,400,1
0,15,1,129,118,20,500,80,100,1
0,15,1,130,55,40,500,60,200,1
0,15,1,131,19,80,200,100,0,0
0,15,1,132,33,40,200,100,100,1
0,15,1,133,18,20,300,80,200,1
0,15,1,134,119,20,300,60,200,1
0,15,1,135,76,20,500,40,400,1
0,15,1,136,123,20,500,20,200,0
0,15,1,137,143,100,500,80,200,0
0,15,1,138,66,60,100,80,0,0
0,15,1,139,44,20,100,80,0,0
0,15,1,140,88,20,100,100,0,0
0,15,1,141,14,40,500,100,400,1
0,15,1,142,69,20,500,80,400,1
0,15,1,143,35,20,500,40,0,0
0,15,1,144,57,20,400,80,300,1
0,15,1,145,1,80,400,100,100,1
0,15,1,146,97,40,200,60,0,0
0,15,1,147,94,20,500,100,0,0
0,15,1,148,85,80,300,100,200,1
0,15,1,149,61,20,300,100,0,0
1,16,0,0,79,40,200,80,10,1
1,16,0,1,117,60,500,80,100,1
1,16,0,2,6,20,50,100,10,1
1,16,0,3,21,60,100,80,20,0
1,16,0,4,138,80,200,40,20,0
1,16,0,5,91,20,50,60,0,0
1,16,0,6,7,20,100,40,20,0
1,16,0,7,102,20,50,40,0,0
1,16,0,8,16,20,20,100,0,0
1,16,0,9,12,60,200,100,100,1
1,16,0,10,41,60,500,100,50,1
1,16,0,11,103,60,200,80,50,0
1,16,0,12,49,80,200,100,100,1
1,16,0,13,56,40,500,60,100,0
1,16,0,14,20,40,500,60,20,0
1,16,0,15,11,80,20,100,0,0
1,16,0,16,38,60,50,100,0,0
1,16,0,17,28,40,20,100,0,0
1,16,0,18,74,20,500,40,100,0
1,16,0,19,142,100,100,20,10,0
1,16,0,20,75,40,500,100,0,0
1,16,0,21,115,20,200,40,0,0
1,16,0,22,88,80,100,100,50,1
1,16,0,23,54,20,500,100,0,0
1,16,0,24,39,40,20,60,0,0
1,16,0,25,97,40,500,80,10,0
1,16,0,26,112,40,200,60,100,1
1,16,0,27,148,100,200,40,20,0
1,16,0,28,125,80,100,80,10,0
1,16,0,29,37,60,500,80,50,0
1,16,0,30,40,40,50,60,10,0
1,16,0,31,50,20,200,100,20,1
1,16,0,32,149,20,200,20,100,0
1,16,0,33,100,60,200,100,0,0
1,16,0,34,123,100,0,40,0,1
1,16,0,35,60,40,500,80,100,1
1,16,0,36,1,20,50,40,10,1
1,16,0,37,106,40,200,100,100,1
1,16,0,38,143,80,500,80,0,0
1,16,0,39,76,40,200,80,0,0
1,16,0,40,68,40,100,80,0,0
1,16,0,41,5,40,20,80,0,0
1,16,0,42,150,100,500,40,500,0
1,16,0,43,29,40,100,60,20,0
1,16,0,44,120,80,500,100,10,0
1,16,0,45,51,40,200,100,10,0
1,16,0,46,108,20,200,100,50,1
1,16,0,47,24,60,100,100,10,0
1,16,0,48,147,100,50,80,0,0
1,16,0,49,8,40,100,60,50,1
1,16,0,50,118,60,500,80,0,0
1,16,0,51,65,60,100,100,50,1
1,16,0,52,122,100,0,80,0,1
1,16,0,53,59,60,200,100,20,0
1,16,0,54,105,20,500,80,0,0
1,16,0,55,23,60,100,80,0,0
1,16,0,56,109,20,20,100,10,1
1,16,0,57,48,20,200,100,100,1
1,16,0,58,139,80,500,20,0,0
1,16,0,59,87,20,500,40,50,1
1,16,0,60,44,40,500,60,0,0
1,16,0,61,141,60,200,20,10,0
1,16,0,62,72,60,10,100,0,0
1,16,0,63,128,80,100,40,10,0
1,16,0,64,53,40,10,80,0,0
1,16,0,65,13,20,100,100,50,1
1,16,0,66,43,60,200,80,0,0
1,16,0,67,45,20,50,80,0,0
1,16,0,68,145,80,50,80,10,0
1,16,0,69,30,40,50,60,0,0
1,16,0,70,92,20,20,60,10,1
1,16,0,71,62,80,10,100,0,0
1,16,0,72,134,60,200,60,20,0
1,16,0,73,78,20,200,80,20,1
1,16,0,74,96,40,100,100,50,1
1,16,0,75,144,80,20,80,0,0
1,16,0,76,61,20,200,60,50,1
1,16,0,77,19,20,100,100,20,1
1,16,0,78,2,20,500,80,20,1
1,16,0,79,35,20,10,60,0,0
1,16,0,80,90,40,500,100,100,1
1,16,0,81,110,40,20,80,10,0
1,16,0,82,95,40,50,60,20,0
1,16,0,83,119,60,200,80,20,0
1,16,0,84,10,20,200,60,20,1
1,16,0,85,58,20,500,60,50,1
1,16,0,86,17,20,50,40,20,1
1,16,0,87,55,60,500,100,10,0
1,16,0,88,4,20,500,40,0,0
1,16,0,89,66,40,500,60,200,1
1,16,0,90,126,80,100,40,20,0
1,16,0,91,127,20,200,20,20,0
1,16,0,92,33,40,50,100,10,1
1,16,0,93,80,60,500,80,20,0
1,16,0,94,116,40,200,60,10,0
1,16,0,95,113,20,100,80,20,1
1,16,0,96,98,80,500,100,50,1
1,16,0,97,89,40,100,100,10,0
1,16,0,98,133,40,100,20,10,0
1,16,0,99,77,40,10,60,0,0
1,16,0,100,82,20,20,60,0,0
1,16,0,101,124,80,10,60,10,0
1,16,0,102,64,20,200,40,50,1
1,16,0,103,14,40,50,80,10,0
1,16,0,104,121,80,500,60,100,0
1,16,0,105,69,40,20,60,10,1
1,16,0,106,94,20,100,40,0,0
1,16,0,107,136,40,200,20,10,0
1,16,0,108,84,20,500,60,10,0
1,16,0,109,83,60,50,80,20,0
1,16,0,110,67,20,20,80,10,0
1,16,0,111,46,20,100,80,0,0
1,16,0,112,15,60,20,80,0,0
1,16,0,113,101,40,500,100,10,0
1,16,0,114,32,80,50,100,20,1
1,16,0,115,85,20,50,60,10,0
1,16,0,116,131,100,500,80,50,0
1,16,0,117,130,60,10,60,0,0
1,16,0,118,104,60,50,80,0,0
1,16,0,119,86,40,50,80,20,0
1,16,0,120,114,40,200,80,100,1
1,16,0,121,26,20,500,100,10,1
1,16,0,122,3,20,200,80,10,0
1,16,0,123,22,60,50,100,20,1
1,16,0,124,129,40,50,20,10,0
1,16,0,125,57,20,100,100,0,0
1,16,0,126,111,60,20,100,0,0
1,16,0,127,73,60,20,80,10,0
1,16,0,128,146,100,100,40,100,0
1,16,0,129,25,60,10,80,0,0
1,16,0,130,42,40,200,80,50,1
1,16,0,131,70,20,10,80,0,0
1,16,0,132,47,40,200,100,50,1
1,16,0,133,36,40,500,80,20,0
1,16,0,134,93,40,200,60,0,0
1,16,0,135,140,100,100,40,0,0
1,16,0,136,137,80,50,40,50,0
1,16,0,137,99,20,500,60,100,1
1,16,0,138,63,40,100,80,10,0
1,16,0,139,107,20,100,100,10,1
1,16,0,140,27,60,500,100,0,0
1,16,0,141,81,80,500,100,20,0
1,16,0,142,31,20,200,100,10,1
1,16,0,143,132,80,200,40,10,0
1,16,0,144,9,20,100,40,50,1
1,16,0,145,34,60,100,80,50,0
1,16,0,146,52,80,200,100,20,0
1,16,0,147,71,20,200,100,0,0
1,16,0,148,18,60,500,100,200,1
1,16,0,149,135,100,10,100,0,0
2,22,0,0,149,20,200,20,100,0
2,22,0,1,135,100,10,100,0,0
2,22,0,2,99,20,500,60,100,1
2,22,0,3,95,40,50,60,20,0
2,22,0,4,59,60,200,100,20,0
2,22,0,5,147,100,50,80,0,0
2,22,0,6,41,60,500,100,50,1
2,22,0,7,109,20,20,100,10,1
2,22,0,8,83,60,50,80,20,0
2,22,0,9,137,80,50,40,50,0
2,22,0,10,76,40,200,80,0,0
2,22,0,11,66,40,500,60,200,1
2,22,0,12,19,20,100,100,20,1
2,22,0,13,73,60,20,80,10,1
2,22,0,14,5,40,20,80,0,0
2,22,0,15,3,20,200,80,10,1
2,22,0,16,23,60,100,80,0,0
2,22,0,17,139,80,500,20,0,0
2,22,0,18,125,80,100,80,10,0
2,22,0,19,133,40,100,20,10,0
2,22,0,20,6,20,50,100,10,1
2,22,0,21,74,20,500,40,100,1
2,22,0,22,64,20,200,40,50,1
2,22,0,23,84,20,500,60,10,1
2,22,0,24,138,80,200,40,20,0
2,22,0,25,111,60,20,100,0,0
2,22,0,26,80,60,500,80,20,1
2,22,0,27,145,80,50,80,10,0
2,22,0,28,9,20,100,40,50,1
2,22,0,29,67,20,20,80,10,1
2,22,0,30,29,40,100,60,20,1
2,22,0,31,131,100,500,80,50,0
