order,sub_no,cond,trial,id,p,x,q,y,choice
0,5,1,0,41,20,400,80,300,1
0,5,1,1,108,40,500,80,400,1
0,5,1,2,74,20,500,60,400,1
0,5,1,3,129,20,400,100,300,1
0,5,1,4,156,100,500,100,400,0
0,5,1,5,122,60,500,80,200,1
0,5,1,6,61,20,500,40,100,0
0,5,1,7,22,40,300,60,200,1
0,5,1,8,144,60,300,100,100,1
0,5,1,9,157,80,200,60,200,0
0,5,1,10,117,40,400,80,100,1
0,5,1,11,38,20,400,100,200,1
0,5,1,12,142,80,300,100,100,1
0,5,1,13,42,20,400,100,300,1
0,5,1,14,26,60,300,100,100,1
0,5,1,15,89,60,500,80,100,1
0,5,1,16,18,20,300,100,200,1
0,5,1,17,100,80,500,100,400,1
0,5,1,18,51,40,400,100,300,1
0,5,1,19,169,80,400,40,400,0
0,5,1,20,167,80,500,20,500,0
0,5,1,21,85,40,500,100,300,1
0,5,1,22,114,20,300,60,100,1
0,5,1,23,7,40,200,100,100,1
0,5,1,24,63,20,500,80,100,1
0,5,1,25,141,20,500,100,300,1
0,5,1,26,50,40,400,80,300,1
0,5,1,27,76,20,500,100,400,1
0,5,1,28,35,20,400,40,200,0
0,5,1,29,39,20,400,40,300,0
0,5,1,30,105,20,300,40,200,0
0,5,1,31,143,60,500,100,100,1
0,5,1,32,116,80,500,100,300,1
0,5,1,33,95,60,500,80,400,1
0,5,1,34,168,20,400,20,200,0
0,5,1,35,106,20,300,100,100,1
0,5,1,36,162,40,500,20,200,0
0,5,1,37,134,40,500,100,400,1
0,5,1,38,59,80,400,100,200,0
0,5,1,39,86,40,500,60,400,1
0,5,1,40,90,60,500,100,100,1
0,5,1,41,91,60,500,80,200,1
0,5,1,42,19,40,300,60,100,1
0,5,1,43,87,40,500,80,400,1
0,5,1,44,126,20,500,60,300,1
0,5,1,45,113,80,500,100,400,1
0,5,1,46,70,20,500,60,300,1
0,5,1,47,120,20,500,60,400,1
0,5,1,48,36,20,400,60,200,1
0,5,1,49,145,20,400,80,100,1
0,5,1,50,180,60,500,40,500,0
0,5,1,51,146,60,500,80,400,1
0,5,1,52,40,20,400,60,300,1
0,5,1,53,20,40,300,80,100,1
0,5,1,54,161,80,300,60,300,0
0,5,1,55,170,60,300,20,300,0
0,5,1,56,97,80,500,100,100,1
0,5,1,57,24,40,300,100,200,1
0,5,1,58,174,60,500,60,400,0
0,5,1,59,163,60,400,20,200,0
0,5,1,60,173,100,300,60,100,0
0,5,1,61,123,20,500,80,400,1
0,5,1,62,43,40,400,60,100,1
0,5,1,63,128,20,300,80,200,1
0,5,1,64,25,60,300,80,100,1
0,5,1,65,109,80,400,100,300,0
0,5,1,66,132,40,500,100,100,1
0,5,1,67,48,40,400,100,200,1
0,5,1,68,81,40,500,80,200,1
0,5,1,69,66,20,500,60,200,1
0,5,1,70,121,60,400,100,100,1
0,5,1,71,27,60,300,80,200,1
