order,sub_no,cond,trial,id,p,x,q,y,choice
0,4,0,0,98,20,300,40,200,1
0,4,0,1,110,10,300,20,100,0
0,4,0,2,139,70,200,30,100,0
0,4,0,3,99,70,500,90,400,1
0,4,0,4,94,30,500,90,400,1
0,4,0,5,74,30,500,40,100,0
0,4,0,6,141,90,500,30,500,0
0,4,0,7,149,70,300,10,200,0
0,4,0,8,130,90,300,70,100,0
0,4,0,9,56,20,500,90,200,1
0,4,0,10,132,30,500,20,100,0
0,4,0,11,69,20,400,70,100,1
0,4,0,12,27,10,300,70,100,1
0,4,0,13,8,30,400,40,300,0
0,4,0,14,26,10,400,20,200,0
0,4,0,15,109,20,300,70,100,1
0,4,0,16,23,30,500,70,200,1
0,4,0,17,46,40,300,70,200,1
0,4,0,18,62,40,500,90,400,1
0,4,0,19,68,20,500,70,100,1
0,4,0,20,116,10,400,70,100,1
0,4,0,21,78,10,300,90,200,1
0,4,0,22,150,90,500,90,100,0
0,4,0,23,77,40,200,70,100,1
0,4,0,24,57,10,400,30,200,0
0,4,0,25,34,70,400,90,100,0
0,4,0,26,145,90,500,40,100,0
0,4,0,27,75,30,400,70,100,1
0,4,0,28,31,20,400,70,200,1
0,4,0,29,119,10,500,40,300,1
0,4,0,30,65,20,300,90,200,1
0,4,0,31,126,90,300,90,200,0
0,4,0,32,131,10,400,10,200,0
0,4,0,33,49,30,300,70,200,1
0,4,0,34,9,10,400,20,100,0
0,4,0,35,30,10,200,90,100,1
0,4,0,36,37,40,400,90,200,1
0,4,0,37,121,20,500,10,400,0
0,4,0,38,80,10,300,30,200,1
0,4,0,39,42,10,300,90,100,1
0,4,0,40,93,20,400,70,300,1
0,4,0,41,107,70,500,90,100,0
0,4,0,42,102,30,500,40,400,0
0,4,0,43,44,20,500,40,400,1
0,4,0,44,2,40,400,70,100,1
0,4,0,45,127,90,400,20,300,0
0,4,0,46,61,40,500,70,200,1
0,4,0,47,38,20,400,30,300,0
0,4,0,48,122,90,200,70,200,0
0,4,0,49,137,20,400,10,200,0
0,4,0,50,51,20,400,90,200,1
0,4,0,51,21,10,300,40,100,1
0,4,0,52,50,10,500,70,300,1
0,4,0,53,104,70,500,90,300,1
0,4,0,54,88,20,500,90,100,1
0,4,0,55,67,10,500,90,200,1
0,4,0,56,111,10,500,40,100,1
0,4,0,57,12,30,400,70,300,1
0,4,0,58,53,30,500,70,300,1
0,4,0,59,85,10,500,70,100,1
0,4,0,60,97,20,300,40,100,0
0,4,0,61,108,70,500,90,200,0
0,4,0,62,87,30,300,90,200,1
0,4,0,63,48,30,200,90,100,1
0,4,0,64,5,30,300,70,100,1
0,4,0,65,72,20,500,90,300,1
0,4,0,66,24,40,300,90,100,1
0,4,0,67,82,30,300,90,100,1
0,4,0,68,47,20,500,70,200,1
0,4,0,69,124,40,400,30,300,0
0,4,0,70,143,40,300,20,200,0
0,4,0,71,11,40,500,70,400,1
0,4,0,72,35,30,500,90,200,1
0,4,0,73,40,30,300,40,200,0
0,4,0,74,19,20,400,40,100,1
0,4,0,75,105,10,500,90,400,1
0,4,0,76,79,10,300,30,100,0
0,4,0,77,14,20,400,30,200,0
0,4,0,78,4,70,300,90,100,1
0,4,0,79,83,20,500,40,300,1
0,4,0,80,133,30,500,30,400,0
0,4,0,81,22,10,400,70,300,1
0,4,0,82,148,70,400,40,200,0
0,4,0,83,52,40,500,70,300,1
0,4,0,84,96,20,500,40,200,1
0,4,0,85,54,10,500,90,300,1
0,4,0,86,138,40,400,10,300,0
0,4,0,87,144,30,300,20,100,0
0,4,0,88,120,40,500,90,100,1
0,4,0,89,106,30,500,40,300,0
0,4,0,90,32,20,500,40,100,0
0,4,0,91,59,10,500,90,100,1
0,4,0,92,6,10,400,90,300,1
0,4,0,93,25,20,500,90,400,1
0,4,0,94,71,40,400,70,200,1
0,4,0,95,123,70,500,10,300,0
0,4,0,96,115,20,400,90,100,1
0,4,0,97,84,30,400,90,100,1
0,4,0,98,146,90,400,70,200,0
0,4,0,99,17,30,400,70,200,1
0,4,0,100,70,30,500,90,100,1
0,4,0,101,86,40,400,90,300,1
0,4,0,102,63,40,300,70,100,1
0,4,0,103,33,10,500,20,100,0
0,4,0,104,28,40,200,90,100,1
0,4,0,105,66,10,200,40,100,1
0,4,0,106,18,10,500,30,200,1
0,4,0,107,43,20,300,90,100,1
0,4,0,108,1,20,200,40,100,1
0,4,0,109,15,20,500,30,400,0
0,4,0,110,90,30,400,90,200,1
0,4,0,111,58,40,500,90,300,1
0,4,0,112,113,10,300,20,200,1
0,4,0,113,20,20,400,40,200,1
0,4,0,114,117,20,300,30,200,0
0,4,0,115,118,30,500,40,200,0
0,4,0,116,91,20,400,40,300,1
0,4,0,117,114,10,500,70,200,1
0,4,0,118,7,10,400,40,100,1
0,4,0,119,129,90,500,70,400,0
0,4,0,120,64,10,200,20,100,1
0,4,0,121,134,20,100,10,100,0
0,4,0,122,45,40,400,90,100,1
0,4,0,123,135,30,500,10,400,0
0,4,0,124,76,20,500,30,200,0
0,4,0,125,95,70,300,90,200,1
0,4,0,126,81,10,400,40,200,1
0,4,0,127,3,10,500,40,200,1
0,4,0,128,39,70,200,90,100,1
0,4,0,129,16,10,300,70,200,1
0,4,0,130,10,20,500,70,400,1
0,4,0,131,36,40,400,70,300,1
0,4,0,132,125,40,500,30,200,0
0,4,0,133,147,90,500,10,400,0
0,4,0,134,101,10,400,90,200,1
0,4,0,135,128,90,500,30,300,0
0,4,0,136,13,30,300,40,100,0
0,4,0,137,100,10,500,20,400,1
0,4,0,138,73,30,400,40,200,0
0,4,0,139,112,10,200,30,100,1
0,4,0,140,29,70,400,90,200,1
0,4,0,141,103,10,500,40,400,1
0,4,0,142,41,10,500,70,400,1
0,4,0,143,140,30,500,20,300,0
0,4,0,144,92,20,400,90,300,1
0,4,0,145,142,70,300,70,200,0
0,4,0,146,89,20,400,30,100,0
0,4,0,147,60,20,200,90,100,1
0,4,0,148,136,20,200,10,200,0
0,4,0,149,55,30,200,70,100,1
1,2,0,0,84,30,400,90,100,1
1,2,0,1,45,40,400,90,100,0
1,2,0,2,109,20,300,70,100,0
1,2,0,3,144,30,300,20,100,0
1,2,0,4,118,30,500,40,200,0
1,2,0,5,11,40,500,70,400,1
1,2,0,6,147,90,500,10,400,0
1,2,0,7,128,90,500,30,300,0
1,2,0,8,48,30,200,90,100,1
1,2,0,9,54,10,500,90,300,1
1,2,0,10,76,20,500,30,200,0
1,2,0,11,100,10,500,20,400,1
1,2,0,12,1,20,200,40,100,0
1,2,0,13,92,20,400,90,300,1
1,2,0,14,89,20,400,30,100,0
1,2,0,15,12,30,400,70,300,1
1,2,0,16,34,70,400,90,100,0
1,2,0,17,125,40,500,30,200,0
1,2,0,18,88,20,500,90,100,1
1,2,0,19,103,10,500,40,400,1
1,2,0,20,80,10,300,30,200,1
1,2,0,21,73,30,400,40,200,0
1,2,0,22,29,70,400,90,200,1
1,2,0,23,18,10,500,30,200,1
1,2,0,24,119,10,500,40,300,1
1,2,0,25,98,20,300,40,200,1
1,2,0,26,26,10,400,20,200,1
1,2,0,27,28,40,200,90,100,1
1,2,0,28,149,70,300,10,200,0
1,2,0,29,40,30,300,40,200,0
1,2,0,30,25,20,500,90,400,1
1,2,0,31,51,20,400,90,200,1
1,2,0,32,91,20,400,40,300,1
1,2,0,33,85,10,500,70,100,1
1,2,0,34,107,70,500,90,100,0
1,2,0,35,23,30,500,70,200,1
1,2,0,36,77,40,200,70,100,1
1,2,0,37,121,20,500,10,400,0
1,2,0,38,33,10,500,20,100,0
1,2,0,39,143,40,300,20,200,0
1,2,0,40,123,70,500,10,300,0
1,2,0,41,13,30,300,40,100,0
1,2,0,42,2,40,400,70,100,1
1,2,0,43,63,40,300,70,100,1
1,2,0,44,115,20,400,90,100,1
1,2,0,45,135,30,500,10,400,0
1,2,0,46,32,20,500,40,100,0
1,2,0,47,35,30,500,90,200,1
1,2,0,48,140,30,500,20,300,0
1,2,0,49,82,30,300,90,100,1
1,2,0,50,64,10,200,20,100,1
1,2,0,51,58,40,500,90,300,1
1,2,0,52,39,70,200,90,100,0
1,2,0,53,75,30,400,70,100,1
1,2,0,54,79,10,300,30,100,1
1,2,0,55,31,20,400,70,200,1
1,2,0,56,105,10,500,90,400,1
1,2,0,57,86,40,400,90,300,1
1,2,0,58,44,20,500,40,400,1
1,2,0,59,30,10,200,90,100,1
1,2,0,60,16,10,300,70,200,1
1,2,0,61,41,10,500,70,400,1
1,2,0,62,65,20,300,90,200,1
1,2,0,63,108,70,500,90,200,0
1,2,0,64,15,20,500,30,400,1
1,2,0,65,38,20,400,30,300,1
1,2,0,66,132,30,500,20,100,0
1,2,0,67,111,10,500,40,100,1
1,2,0,68,99,70,500,90,400,0
1,2,0,69,74,30,500,40,100,0
1,2,0,70,137,20,400,10,200,0
1,2,0,71,20,20,400,40,200,1
1,2,0,72,113,10,300,20,200,1
1,2,0,73,36,40,400,70,300,1
1,2,0,74,42,10,300,90,100,1
1,2,0,75,72,20,500,90,300,1
1,2,0,76,5,30,300,70,100,1
1,2,0,77,101,10,400,90,200,1
1,2,0,78,7,10,400,40,100,1
1,2,0,79,122,90,200,70,200,0
1,2,0,80,120,40,500,90,100,0
1,2,0,81,50,10,500,70,300,1
1,2,0,82,112,10,200,30,100,1
1,2,0,83,14,20,400,30,200,0
1,2,0,84,97,20,300,40,100,1
1,2,0,85,47,20,500,70,200,1
1,2,0,86,71,40,400,70,200,0
1,2,0,87,19,20,400,40,100,0
1,2,0,88,114,10,500,70,200,1
1,2,0,89,81,10,400,40,200,1
1,2,0,90,96,20,500,40,200,1
1,2,0,91,90,30,400,90,200,1
1,2,0,92,110,10,300,20,100,0
1,2,0,93,4,70,300,90,100,0
1,2,0,94,134,20,100,10,100,0
1,2,0,95,69,20,400,70,100,1
1,2,0,96,67,10,500,90,200,1
1,2,0,97,130,90,300,70,100,0
1,2,0,98,56,20,500,90,200,1
1,2,0,99,66,10,200,40,100,1
1,2,0,100,94,30,500,90,400,1
1,2,0,101,138,40,400,10,300,0
1,2,0,102,8,30,400,40,300,1
1,2,0,103,57,10,400,30,200,1
1,2,0,104,9,10,400,20,100,0
1,2,0,105,21,10,300,40,100,1
1,2,0,106,3,10,500,40,200,1
1,2,0,107,116,10,400,70,100,1
1,2,0,108,131,10,400,10,200,0
1,2,0,109,141,90,500,30,500,0
1,2,0,110,46,40,300,70,200,1
1,2,0,111,93,20,400,70,300,1
1,2,0,112,24,40,300,90,100,1
1,2,0,113,102,30,500,40,400,1
1,2,0,114,62,40,500,90,400,1
1,2,0,115,129,90,500,70,400,0
