order,sub_no,cond,trial,id,x,t,y,u,choice
0,3,1,0,62,310,365,10,30,0
0,3,1,1,10,500,60,490,14,1
0,3,1,2,106,490,7,310,2,0
0,3,1,3,46,500,365,310,7,1
0,3,1,4,120,410,182.5,310,7,1
0,3,1,5,134,500,7,490,14,0
0,3,1,6,86,410,7,10,1,0
0,3,1,7,26,500,60,490,1,1
0,3,1,8,28,460,182.5,10,60,0
0,3,1,9,141,410,60,410,2,1
0,3,1,10,77,500,182.5,460,60,1
0,3,1,11,39,500,182.5,410,14,1
0,3,1,12,22,500,30,310,1,0
0,3,1,13,55,490,2,410,1,0
0,3,1,14,48,490,60,10,1,0
0,3,1,15,44,500,182.5,490,60,1
0,3,1,16,32,490,60,460,30,1
0,3,1,17,20,490,60,310,14,0
0,3,1,18,96,500,14,460,2,1
0,3,1,19,27,310,30,10,7,0
0,3,1,20,114,490,30,410,14,1
0,3,1,21,35,410,182.5,310,1,1
0,3,1,22,95,460,365,10,7,0
0,3,1,23,24,490,14,410,7,1
0,3,1,24,104,500,365,410,1,1
0,3,1,25,133,310,365,310,30,1
0,3,1,26,108,500,182.5,460,30,1
0,3,1,27,121,490,30,490,14,0
0,3,1,28,138,500,2,490,182.5,0
0,3,1,29,49,460,14,410,2,1
0,3,1,30,8,500,30,490,1,1
0,3,1,31,142,410,182.5,10,182.5,0
0,3,1,32,122,410,30,310,60,0
0,3,1,33,57,410,365,310,14,1
0,3,1,34,149,500,2,490,365,0
0,3,1,35,150,310,1,10,7,0
0,3,1,36,131,490,1,310,14,0
0,3,1,37,33,500,182.5,310,60,0
0,3,1,38,31,460,14,310,2,1
0,3,1,39,72,410,182.5,10,60,0
0,3,1,40,6,460,60,410,1,1
0,3,1,41,76,490,7,460,1,1
0,3,1,42,81,490,182.5,410,14,1
0,3,1,43,113,460,60,10,14,0
0,3,1,44,58,310,365,10,2,0
0,3,1,45,93,310,365,10,14,0
0,3,1,46,118,500,60,10,30,0
0,3,1,47,42,310,60,10,30,0
0,3,1,48,103,410,60,10,14,0
0,3,1,49,37,460,365,310,7,1
0,3,1,50,12,460,365,10,14,0
0,3,1,51,23,460,182.5,10,30,0
0,3,1,52,84,410,7,310,2,0
0,3,1,53,83,460,60,10,7,0
0,3,1,54,75,490,14,410,2,1
0,3,1,55,68,490,30,310,7,0
0,3,1,56,29,460,2,410,1,1
0,3,1,57,105,410,365,310,182.5,1
0,3,1,58,79,500,182.5,410,1,1
0,3,1,59,80,500,14,490,7,1
0,3,1,60,2,500,30,410,14,1
0,3,1,61,98,460,60,310,2,1
0,3,1,62,139,460,1,10,7,0
0,3,1,63,41,500,365,10,60,0
0,3,1,64,119,500,60,490,7,1
0,3,1,65,110,500,60,490,30,1
0,3,1,66,4,490,365,10,14,0
0,3,1,67,64,460,365,10,2,0
0,3,1,68,50,490,182.5,460,1,1
0,3,1,69,115,500,7,10,1,0
0,3,1,70,92,490,60,460,14,1
0,3,1,71,73,500,365,310,30,0
0,3,1,72,135,10,60,10,30,1
0,3,1,73,145,490,7,410,365,0
0,3,1,74,87,500,14,410,7,1
0,3,1,75,45,490,365,10,30,0
0,3,1,76,94,460,365,410,7,1
0,3,1,77,146,490,30,10,60,0
0,3,1,78,54,460,182.5,310,30,1
0,3,1,79,90,460,365,410,182.5,1
