order,sub_no,cond,trial,id,x,t,y,u,choice
0,1,1,0,46,400,304.17,200,182.5,0
0,1,1,1,90,500,182.5,400,1,1
0,1,1,2,99,500,365,100,1,0
0,1,1,3,77,500,304.17,200,182.5,0
0,1,1,4,11,300,121.67,100,1,0
0,1,1,5,1,400,304.17,200,60,1
0,1,1,6,137,100,1,100,365,0
0,1,1,7,24,300,365,100,304.17,0
0,1,1,8,92,300,365,200,182.5,1
0,1,1,9,100,300,365,100,182.5,0
0,1,1,10,66,500,182.5,200,121.67,0
0,1,1,11,34,200,182.5,100,121.67,0
0,1,1,12,39,500,365,200,243.33,0
0,1,1,13,126,100,1,100,243.33,0
0,1,1,14,110,400,365,200,121.67,0
0,1,1,15,102,400,182.5,300,121.67,0
0,1,1,16,9,400,365,300,1,1
0,1,1,17,44,500,304.17,400,182.5,1
0,1,1,18,124,500,1,400,182.5,0
0,1,1,19,127,500,182.5,300,304.17,0
0,1,1,20,76,400,121.67,300,1,1
0,1,1,21,98,300,243.33,100,182.5,0
0,1,1,22,94,500,304.17,100,121.67,0
0,1,1,23,122,400,243.33,200,243.33,0
0,1,1,24,133,500,1,200,121.67,0
0,1,1,25,29,500,121.67,100,60,0
0,1,1,26,150,500,121.67,400,121.67,0
0,1,1,27,106,400,304.17,100,1,0
0,1,1,28,78,500,243.33,200,1,0
0,1,1,29,119,500,365,200,304.17,0
0,1,1,30,53,200,304.17,100,243.33,0
0,1,1,31,131,500,60,300,121.67,0
0,1,1,32,104,500,243.33,400,121.67,1
0,1,1,33,89,500,304.17,200,243.33,0
0,1,1,34,107,500,304.17,400,243.33,0
0,1,1,35,135,500,121.67,100,182.5,0
0,1,1,36,80,500,60,300,1,0
0,1,1,37,64,400,304.17,300,60,1
0,1,1,38,86,500,304.17,400,60,1
0,1,1,39,31,400,243.33,300,121.67,1
0,1,1,40,51,400,365,100,60,0
0,1,1,41,15,400,182.5,300,60,1
0,1,1,42,40,400,60,200,1,0
0,1,1,43,6,300,121.67,100,60,0
0,1,1,44,23,500,121.67,100,1,0
0,1,1,45,93,400,243.33,300,1,1
0,1,1,46,45,200,304.17,100,1,1
0,1,1,47,57,400,243.33,200,1,1
0,1,1,48,120,400,182.5,200,1,1
0,1,1,49,139,300,60,200,60,0
0,1,1,50,91,500,243.33,400,60,1
0,1,1,51,50,400,121.67,200,1,0
0,1,1,52,59,400,243.33,100,121.67,0
0,1,1,53,95,400,243.33,100,1,0
0,1,1,54,55,500,243.33,100,60,0
0,1,1,55,118,400,304.17,200,1,1
0,1,1,56,148,500,1,500,60,0
0,1,1,57,132,200,121.67,100,304.17,0
0,1,1,58,109,500,365,200,121.67,0
0,1,1,59,81,500,243.33,200,121.67,0
0,1,1,60,143,300,121.67,200,243.33,0
0,1,1,61,117,300,243.33,100,60,0
0,1,1,62,103,400,243.33,300,182.5,1
0,1,1,63,41,300,304.17,100,1,1
0,1,1,64,136,400,60,400,121.67,0
0,1,1,65,116,300,243.33,100,121.67,0
0,1,1,66,33,500,243.33,300,182.5,0
0,1,1,67,21,300,243.33,200,60,1
0,1,1,68,134,100,60,100,121.67,0
0,1,1,69,141,500,304.17,100,365,0
0,1,1,70,96,400,365,300,121.67,1
0,1,1,71,7,200,60,100,1,0
0,1,1,72,61,400,304.17,300,243.33,0
0,1,1,73,138,300,182.5,200,243.33,0
0,1,1,74,62,400,365,200,243.33,0
0,1,1,75,52,500,365,100,121.67,0
0,1,1,76,17,500,365,300,182.5,0
0,1,1,77,32,400,304.17,300,121.67,1
0,1,1,78,10,300,182.5,100,60,0
0,1,1,79,105,300,304.17,200,1,0
0,1,1,80,56,500,304.17,100,60,0
0,1,1,81,16,500,365,100,304.17,0
0,1,1,82,60,500,304.17,400,121.67,1
0,1,1,83,130,500,1,400,1,0
0,1,1,84,112,500,182.5,300,121.67,0
0,1,1,85,42,500,365,300,243.33,0
0,1,1,86,108,300,365,200,60,1
0,1,1,87,13,500,243.33,200,60,0
0,1,1,88,72,200,121.67,100,60,0
0,1,1,89,26,400,365,300,243.33,0
0,1,1,90,63,200,121.67,100,1,1
0,1,1,91,67,400,60,300,1,0
0,1,1,92,49,400,182.5,100,121.67,0
0,1,1,93,48,500,243.33,400,182.5,0
0,1,1,94,125,400,1,100,1,0
0,1,1,95,25,400,304.17,200,121.67,1
